geocoded_address,event_date,year,CSA2010
"1700 FLEET ST, MD, 21231",7/28/05,2005,Fells Point
"1000 TUNBRIDGE ROAD, BALTIMORE, MD, 21212",7/28/05,2005,Chinquapin Park/Belvedere
"2422 BRIDGEHAMPTON DR, MD, 21234",7/31/05,2005,Harford/Echodale
"1031 N STRICKER ST, BALTIMORE, MD, 21217",7/31/05,2005,Sandtown-Winchester/Harlem Park
"2300 W BALTIMORE ST, BALTIMORE, MD, 21223",8/1/05,2005,Southwest Baltimore
"600 N CURLEY ST, BALTIMORE, MD, 21205",8/2/05,2005,Madison/East End
"500 ORCHARD ST, BALTIMORE, MD, 21201",8/4/05,2005,Downtown/Seton Hill
"600 ASHBURTON ST, BALTIMORE, MD, 21216",8/5/05,2005,Greater Rosemont
"3805 CEDARHURST ROAD, BALTIMORE, MD, 21206",8/6/05,2005,Lauraville
"800 30TH ST, MD, 21218",8/7/05,2005,The Waverlies
"3000 GRAYSON ST, BALTIMORE, MD, 21216",8/8/05,2005,Greater Rosemont
"2410 WINCHESTER ST, BALTIMORE, MD, 21216",8/9/05,2005,Greater Rosemont
"3107 LORENA AVE, MD, 21230",8/10/05,2005,Westport/Mount Winans/Lakeland
"700 N GRANTLEY ST, BALTIMORE, MD, 21229",8/14/05,2005,Edmondson Village
"2600 WEGWORTH LN, BALTIMORE, MD, 21230",8/14/05,2005,Westport/Mount Winans/Lakeland
"26 N MOUNT ST, BALTIMORE, MD, 21223",8/15/05,2005,Southwest Baltimore
"501 N ATHOL AVE, BALTIMORE, MD, 21229",8/17/05,2005,Allendale/Irvington/S. Hilton
"4100 PALL MALL ROAD, MD, 21215",8/17/05,2005,Southern Park Heights
"411 S COLLINGTON AVE, BALTIMORE, MD, 21231",8/20/05,2005,Fells Point
"3900 FRANKLIN ST, MD, 21229",8/20/05,2005,Allendale/Irvington/S. Hilton
"3000 ASCENSION ST, BALTIMORE, MD, 21225",8/20/05,2005,Cherry Hill
"x=-76.656003, y=39.332402",8/22/05,2005,Southern Park Heights
"1431 MULLIKEN CT, BALTIMORE, MD, 21231",8/28/05,2005,Oldtown/Middle East
"1100 COLD SPRING LANE, MD, 21239",8/29/05,2005,Northwood
"x=-76.648240, y=39.261245",8/30/05,2005,Westport/Mount Winans/Lakeland
"2701 MOUNT HOLLY ST, BALTIMORE, MD, 21216",8/30/05,2005,Forest Park/Walbrook
"2102 HOLLINS ST, BALTIMORE, MD, 21223",9/7/05,2005,Southwest Baltimore
"4127 REISTERSTOWN ROAD, BALTIMORE, MD, 21215",9/10/05,2005,Southern Park Heights
"3200 SEQUOIA AVE, BALTIMORE, MD, 21215",9/10/05,2005,Dorchester/Ashburton
"1300 LAURENS ST, BALTIMORE, MD, 21217",9/10/05,2005,Sandtown-Winchester/Harlem Park
"1000 ASHBURTON ST, BALTIMORE, MD, 21216",9/10/05,2005,Greater Rosemont
"6100 LOCH RAVEN BLVD, MD, 21239",9/12/05,2005,Loch Raven
"4806 LIBERTY HEIGHTS AVE, BALTIMORE, MD, 21207",9/14/05,2005,Howard Park/West Arlington
"2100 ORLEANS ST, BALTIMORE, MD, 21231",9/14/05,2005,Patterson Park North & East
"3601 FALLS ROAD, BALTIMORE, MD, 21211",9/16/05,2005,Medfield/Hampden/Woodberry/Remington
"700 MELLO CT, BALTIMORE, MD, 21205",9/18/05,2005,Oldtown/Middle East
"603 E 30TH ST, BALTIMORE, MD, 21218",9/18/05,2005,The Waverlies
"5300 CUTHBERT AVE, MD, 21215",9/20/05,2005,Pimlico/Arlington/Hilltop
"2546 W PRATT ST, BALTIMORE, MD, 21223",9/20/05,2005,Southwest Baltimore
"500 S DECKER AVE, BALTIMORE, MD, 21224",9/21/05,2005,Patterson Park North & East
"x=-76.656396, y=39.315812",9/22/05,2005,Greater Mondawmin
"400 WATER ST, MD, 21202",9/22/05,2005,Downtown/Seton Hill
"2040 RUXTON AVE, BALTIMORE, MD, 21216",9/23/05,2005,Greater Mondawmin
"2300 DIVISION ST, BALTIMORE, MD, 21217",9/24/05,2005,Upton/Druid Heights
"5400 REISTERSTOWN ROAD, BALTIMORE, MD, 21215",9/25/05,2005,Glen-Fallstaff
"6300 FAIRLAWN AVE, MD, 21215",9/30/05,2005,Glen-Fallstaff
"603 CHERRY HILL ROAD, MD, 21225",10/3/05,2005,Cherry Hill
"5900 GLEN FALLS AVE, BALTIMORE, MD, 21206",10/6/05,2005,Hamilton
"4500 FRANKLINTOWN ROAD, MD, 21229",10/9/05,2005,Edmondson Village
"1800 N ROSEDALE ST, BALTIMORE, MD, 21216",10/10/05,2005,Greater Rosemont
"4702 POST ROAD, BALTIMORE, MD, 21215",10/12/05,2005,Howard Park/West Arlington
"1500 HAVENWOOD ROAD, BALTIMORE, MD, 21218",10/12/05,2005,Northwood
"2218 KIRK AVE, BALTIMORE, MD, 21218",10/13/05,2005,Midway/Coldstream
"200 COLLINS AVE, BALTIMORE, MD, 21229",10/14/05,2005,Allendale/Irvington/S. Hilton
"3900 BOARMAN AVE, BALTIMORE, MD, 21215",10/17/05,2005,Dorchester/Ashburton
"3800 BOARMAN AVE, BALTIMORE, MD, 21215",10/17/05,2005,Dorchester/Ashburton
"3400 KENYON AVE, BALTIMORE, MD, 21213",10/17/05,2005,Belair-Edison
"1800 MCKEAN AVE, MD, 21217",10/18/05,2005,Sandtown-Winchester/Harlem Park
"1700 N BRADFORD ST, BALTIMORE, MD, 21213",10/18/05,2005,Clifton-Berea
"1700 N BRADFORD ST, BALTIMORE, MD, 21213",10/18/05,2005,Clifton-Berea
"4627 KESWICK ROAD, BALTIMORE, MD, 21210",10/24/05,2005,Greater Roland Park/Poplar Hill
"4100 CLEVE CT, MD, 21225",10/24/05,2005,Brooklyn/Curtis Bay/Hawkins Point
"6516 BROWN AVE, BALTIMORE, MD, 21224",10/25/05,2005,Southeastern
"1800 GUILFORD AVE, BALTIMORE, MD, 21202",10/25/05,2005,Midtown
"1700 MALVERN ST, BALTIMORE, MD, 21224",10/25/05,2005,Southeastern
"800 N FULTON AVE, BALTIMORE, MD, 21217",10/30/05,2005,Sandtown-Winchester/Harlem Park
