"","geocoded_address","event_date","year","CSA2010"
"254","4700 ALHAMBRA AVE, BALTIMORE, MD, 21212","10/19/16",2016,"Greater Govans"
"255","1400 RAMSAY ST, BALTIMORE, MD, 21223","10/21/16",2016,"Southwest Baltimore"
"256","3400 JUNEWAY, BALTIMORE, MD, 21213","10/22/16",2016,"Belair-Edison"
"257","3300 W BALTIMORE ST, BALTIMORE, MD, 21229","10/24/16",2016,"Allendale/Irvington/S. Hilton"
"258","2200 POPLAR GROVE ST, BALTIMORE, MD, 21216","10/24/16",2016,"Greater Mondawmin"
"259","2200 POPLAR GROVE ST, BALTIMORE, MD, 21216","10/24/16",2016,"Greater Mondawmin"
"260","1500 PENNSYLVANIA AVE, BALTIMORE, MD, 21217","10/26/16",2016,"Upton/Druid Heights"
"261","5100 CONANT WAY, BALTIMORE, MD, 21206","10/28/16",2016,"Cedonia/Frankford"
"262","2800 HILLDALE AVE, BALTIMORE, MD, 21215","10/29/16",2016,"Southern Park Heights"
"263","2400 LOYOLA NORTHWAY, BALTIMORE, MD, 21215","10/30/16",2016,"Southern Park Heights"
"264","2000 BOYD ST, BALTIMORE, MD, 21223","11/4/16",2016,"Southwest Baltimore"
"265","2800 KEYWORTH AVE, MD, 21215","11/5/16",2016,"Southern Park Heights"
"266","3800 10TH ST, BALTIMORE, MD, 21225","11/7/16",2016,"Brooklyn/Curtis Bay/Hawkins Point"
"267","4400 ADELLE TER, BALTIMORE, MD, 21229","11/9/16",2016,"Allendale/Irvington/S. Hilton"
"268","2900 CHERRYLAND ROAD, MD, 21225","11/9/16",2016,"Cherry Hill"
"269","1800 RUXTON AVE, BALTIMORE, MD, 21216","11/9/16",2016,"Greater Rosemont"
"270","800 W LEXINGTON ST, BALTIMORE, MD, 21201","11/11/16",2016,"Poppleton/The Terraces/Hollins Market"
